1,764007.8
2,582803
3,723072.8
4,1598950.4
5,1351276.7
6,832281
7,1433232.1
8,953756.6
9,1677616.2
10,963393.5
11,1161867.5
12,1511372.4
1,1831898.7
2,904089
3,1617771.8
4,1215685.2
5,1744805.6
6,960605.1
7,1277745.2
8,1080855.3
9,1204536.6
10,1268158.9
11,1876292.4
12,2188059.3
13,843965
14,1870493.1
15,1788984.2
16,819373.1
17,1782783.6
18,2079161.4
1,401711.6
2,898406.4
,refuge
3,1259902.2
4,840905.2
5,516284.7
6,1268163.9
7,2123026.5
8,2270153.7
9,1083822.8
10,1131518.8
11,1006505.2
12,2139581.2
1,1744235.6
2,1060287.7
3,1808392.6
4,1590480.8
5,1857490.3
6,1094103.8
7,2461125.3
8,1405019.7
9,1547162.9
10,1516774.5
11,1229648.9
12,2674157.6
13,2226675.4
14,1109049.8
1,2078852.9
2,1720679.5
3,2259263.4
